Student_ID,CGPA,Attendance,Backlogs,Coding_Skill,Communication_Skill,Projects,Internships,Aptitude_Score,Placement
STU001,6.8,86.4,3,8,6,2,0,95,Yes
STU002,9.56,79.1,2,1,8,3,2,94,Yes
STU003,8.51,68.9,4,9,1,1,0,66,No
STU004,7.87,91.6,0,6,1,0,1,73,Yes
STU005,5.75,85.8,4,4,7,5,2,90,No
STU006,5.75,62.3,0,9,8,4,1,40,Yes
STU007,5.28,96.0,1,5,3,2,2,71,No
STU008,9.16,92.0,0,5,5,0,2,64,Yes
STU009,7.89,97.7,3,5,1,4,2,68,Yes
STU010,8.4,87.7,2,1,7,4,2,46,Yes
STU011,5.1,82.6,1,1,5,5,2,88,No
STU012,9.66,73.8,0,8,8,3,0,42,Yes
STU013,9.0,97.0,4,8,8,5,2,59,Yes
STU014,6.02,94.0,1,6,9,3,2,59,Yes
STU015,5.87,57.0,1,4,7,3,0,92,No
STU016,5.88,56.2,0,2,1,0,0,69,No
STU017,6.46,71.9,1,2,3,0,0,74,No
STU018,7.52,91.5,4,9,8,2,0,74,Yes
STU019,7.07,99.4,1,5,3,3,0,88,Yes
STU020,6.4,61.8,4,4,8,4,0,78,No
STU021,7.94,81.7,0,10,1,1,2,66,Yes
STU022,5.67,72.1,2,1,5,2,2,65,No
STU023,6.4,98.6,1,7,4,0,1,53,Yes
STU024,6.76,92.9,2,3,5,5,2,56,Yes
STU025,7.19,92.7,4,6,8,2,2,57,Yes
STU026,8.77,76.1,1,5,10,2,0,84,Yes
STU027,5.96,73.7,3,5,4,2,0,91,No
STU028,7.47,67.3,2,5,4,2,2,68,Yes
STU029,7.84,57.5,1,1,3,1,1,59,No
STU030,5.22,93.9,2,1,7,5,0,92,No
STU031,7.92,91.6,1,3,3,5,2,66,Yes
STU032,5.82,100.0,0,10,3,5,2,57,Yes
STU033,5.31,99.8,2,4,10,3,1,43,Yes
STU034,9.55,80.0,3,5,5,4,1,40,Yes
STU035,9.64,89.6,3,2,5,5,0,89,Yes
STU036,8.88,97.5,4,8,6,2,1,40,Yes
STU037,6.46,93.2,1,2,8,2,2,97,Yes
STU038,5.47,66.1,2,9,10,5,2,65,Yes
STU039,8.28,75.3,4,2,6,5,1,84,Yes
STU040,7.11,60.8,2,9,1,2,1,59,Yes
STU041,5.59,97.9,1,7,8,3,1,91,Yes
STU042,7.38,82.3,3,8,8,0,1,62,No
STU043,5.17,65.3,0,2,9,0,0,49,No
STU044,9.36,85.2,3,7,9,5,1,98,Yes
STU045,6.24,82.8,4,6,2,1,0,50,No
STU046,8.18,71.1,0,4,2,5,2,80,Yes
STU047,6.5,60.1,4,7,3,5,1,80,No
STU048,7.5,85.2,1,4,1,0,0,44,No
STU049,7.62,78.4,0,2,4,2,1,97,Yes
STU050,5.89,89.8,4,10,4,5,2,40,Yes
STU051,9.65,78.4,1,7,9,2,2,56,Yes
STU052,8.72,93.3,3,8,9,2,2,61,Yes
STU053,9.51,79.8,1,2,9,1,1,73,Yes
STU054,9.3,80.2,2,5,10,2,1,95,Yes
STU055,7.87,94.4,1,1,7,0,0,84,No
STU056,9.42,73.2,1,7,2,3,2,80,Yes
STU057,5.42,61.0,2,8,10,3,1,68,Yes
